horizon,mse,rmse,mae,mape,noise_level,model
1,2.6254808946844377,1.6203335751271828,1.1591535789934884,2.826459160376687,0.05,tsm
5,9.579796310148147,3.0951246033315276,2.3031350429516637,5.596407895645247,0.05,tsm
20,28.156240166029974,5.3062453925567725,4.117379095515754,9.681978282191439,0.05,tsm
30,36.521906961413556,6.043335747864217,5.1216455064827295,11.994558670402979,0.05,tsm
1,2.6355114947808223,1.6234258513344002,1.1624894725596115,2.834166706373867,0.1,tsm
5,9.585275665548131,3.0960096358939406,2.302504395493273,5.596083568484597,0.1,tsm
20,28.12579198940175,5.303375527850329,4.114790247760965,9.676424877423212,0.1,tsm
30,36.4197722757609,6.0348796405364125,5.114105663174257,11.978722044826744,0.1,tsm
1,2.6658627361422598,1.632746990853837,1.1727930158042381,2.857805388589654,0.2,tsm
5,9.607985994761181,3.099675143424095,2.303451129843728,5.599818534336571,0.2,tsm
20,28.073576980408497,5.298450432004484,4.10980659076153,9.665764749554064,0.2,tsm
30,36.224809491734845,6.018704967992271,5.099025976557315,11.94704879367428,0.2,tsm
1,2.7099340334784676,1.6461877272894692,1.1860247545485938,2.888101044651726,0.3,tsm
5,9.646365147556743,3.10585980809771,2.30684669522898,5.608853531564996,0.3,tsm
20,28.032937094277646,5.294613970279387,4.1083547559113525,9.662760858697196,0.3,tsm
30,36.04225547771504,6.003520257125401,5.083946288679363,11.915375540005469,0.3,tsm
1,2.6263642410482144,1.6206061338425861,1.159100770806381,2.8262897292153912,0.05,TSM+LLM-COT-RF-HDELTA
5,9.57145330720789,3.0937765444853786,2.2849307626847786,5.544478024703455,0.05,TSM+LLM-COT-RF-HDELTA
20,27.993052793214545,5.290846132067587,4.086861912057499,9.579944574594254,0.05,TSM+LLM-COT-RF-HDELTA
30,36.67347467901288,6.055862835221161,5.113952159281869,11.95132496815558,0.05,TSM+LLM-COT-RF-HDELTA
1,2.637305489645585,1.623978291001941,1.1623838561853965,2.833827844051277,0.1,TSM+LLM-COT-RF-HDELTA
5,9.574550568114526,3.09427706712158,2.2842327399494256,5.543943603742052,0.1,TSM+LLM-COT-RF-HDELTA
20,27.96329437147164,5.288033128817523,4.084647929358687,9.575382252765046,0.1,TSM+LLM-COT-RF-HDELTA
30,36.577640009035875,6.047945106318003,5.1069850175774,11.937030683258717,0.1,TSM+LLM-COT-RF-HDELTA
1,2.6695599344206364,1.633878800407373,1.1727751011896574,2.8576333354034413,0.2,TSM+LLM-COT-RF-HDELTA
5,9.59262385816369,3.0971961284625955,2.285044723534474,5.54725838157267,0.2,TSM+LLM-COT-RF-HDELTA
20,27.912444578753508,5.28322293479591,4.080414002505961,9.566704290853925,0.2,TSM+LLM-COT-RF-HDELTA
30,36.39525089974835,6.0328476609100905,5.093050734168464,11.908442113464995,0.2,TSM+LLM-COT-RF-HDELTA
1,2.7156436426360986,1.64792100618813,1.1859978815894952,2.8878429625089423,0.3,TSM+LLM-COT-RF-HDELTA
5,9.626535505860685,3.1026658708054087,2.2881817219380354,5.555546498283244,0.3,TSM+LLM-COT-RF-HDELTA
20,27.873150853725626,5.279502898353748,4.079711896907955,9.565682563872233,0.3,TSM+LLM-COT-RF-HDELTA
30,36.22523543134938,6.018740352544657,5.079116450759528,11.879853543671272,0.3,TSM+LLM-COT-RF-HDELTA
