horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.21232876712328766,0.0,0.0,1.0,54,61,31,naive_persistence,full,146
5,0.0821917808219178,0.0,0.0,1.0,45,89,12,naive_persistence,full,146
20,0.0136986301369863,0.0,0.0,1.0,53,91,2,naive_persistence,full,146
30,0.0684931506849315,0.0,0.0,1.0,29,107,10,naive_persistence,full,146
1,0.3287671232876712,0.5,0.29508196721311475,0.0967741935483871,54,61,31,seasonal_naive,full,146
5,0.0821917808219178,0.0,0.0,1.0,45,89,12,seasonal_naive,full,146
20,0.0136986301369863,0.0,0.0,1.0,53,91,2,seasonal_naive,full,146
30,0.0684931506849315,0.0,0.0,1.0,29,107,10,seasonal_naive,full,146
1,0.3013698630136986,0.5370370370370371,0.0,0.4838709677419355,54,61,31,linear_ridge,full,146
5,0.3287671232876712,1.0,0.02247191011235955,0.08333333333333333,45,89,12,linear_ridge,full,146
20,0.3904109589041096,1.0,0.04395604395604396,0.0,53,91,2,linear_ridge,full,146
30,0.19863013698630136,1.0,0.0,0.0,29,107,10,linear_ridge,full,146
1,0.3698630136986301,1.0,0.0,0.0,54,61,31,linear_lasso,full,146
5,0.3082191780821918,1.0,0.0,0.0,45,89,12,linear_lasso,full,146
20,0.363013698630137,1.0,0.0,0.0,53,91,2,linear_lasso,full,146
30,0.19863013698630136,1.0,0.0,0.0,29,107,10,linear_lasso,full,146
1,0.2876712328767123,0.2777777777777778,0.13114754098360656,0.6129032258064516,54,61,31,tsm,full,146
5,0.3356164383561644,0.6444444444444445,0.19101123595505617,0.25,45,89,12,tsm,full,146
20,0.4452054794520548,0.8867924528301887,0.1978021978021978,0.0,53,91,2,tsm,full,146
30,0.3150684931506849,0.7931034482758621,0.205607476635514,0.1,29,107,10,tsm,full,146
1,0.2876712328767123,0.2777777777777778,0.13114754098360656,0.6129032258064516,54,61,31,TSM+LLM-COT-RF-HDELTA,llm_subset,146
5,0.3561643835616438,0.6444444444444445,0.21348314606741572,0.3333333333333333,45,89,12,TSM+LLM-COT-RF-HDELTA,llm_subset,146
20,0.4452054794520548,0.8867924528301887,0.1978021978021978,0.0,53,91,2,TSM+LLM-COT-RF-HDELTA,llm_subset,146
30,0.3150684931506849,0.7931034482758621,0.205607476635514,0.1,29,107,10,TSM+LLM-COT-RF-HDELTA,llm_subset,146
1,0.21232876712328766,0.0,0.0,1.0,54,61,31,naive_persistence_llm_subset,llm_subset,146
5,0.0821917808219178,0.0,0.0,1.0,45,89,12,naive_persistence_llm_subset,llm_subset,146
20,0.0136986301369863,0.0,0.0,1.0,53,91,2,naive_persistence_llm_subset,llm_subset,146
30,0.0684931506849315,0.0,0.0,1.0,29,107,10,naive_persistence_llm_subset,llm_subset,146
1,0.3287671232876712,0.5,0.29508196721311475,0.0967741935483871,54,61,31,seasonal_naive_llm_subset,llm_subset,146
5,0.0821917808219178,0.0,0.0,1.0,45,89,12,seasonal_naive_llm_subset,llm_subset,146
20,0.0136986301369863,0.0,0.0,1.0,53,91,2,seasonal_naive_llm_subset,llm_subset,146
30,0.0684931506849315,0.0,0.0,1.0,29,107,10,seasonal_naive_llm_subset,llm_subset,146
1,0.3013698630136986,0.5370370370370371,0.0,0.4838709677419355,54,61,31,linear_ridge_llm_subset,llm_subset,146
5,0.3287671232876712,1.0,0.02247191011235955,0.08333333333333333,45,89,12,linear_ridge_llm_subset,llm_subset,146
20,0.3904109589041096,1.0,0.04395604395604396,0.0,53,91,2,linear_ridge_llm_subset,llm_subset,146
30,0.19863013698630136,1.0,0.0,0.0,29,107,10,linear_ridge_llm_subset,llm_subset,146
1,0.3698630136986301,1.0,0.0,0.0,54,61,31,linear_lasso_llm_subset,llm_subset,146
5,0.3082191780821918,1.0,0.0,0.0,45,89,12,linear_lasso_llm_subset,llm_subset,146
20,0.363013698630137,1.0,0.0,0.0,53,91,2,linear_lasso_llm_subset,llm_subset,146
30,0.19863013698630136,1.0,0.0,0.0,29,107,10,linear_lasso_llm_subset,llm_subset,146
1,0.2876712328767123,0.2777777777777778,0.13114754098360656,0.6129032258064516,54,61,31,tsm_llm_subset,llm_subset,146
5,0.3356164383561644,0.6444444444444445,0.19101123595505617,0.25,45,89,12,tsm_llm_subset,llm_subset,146
20,0.4452054794520548,0.8867924528301887,0.1978021978021978,0.0,53,91,2,tsm_llm_subset,llm_subset,146
30,0.3150684931506849,0.7931034482758621,0.205607476635514,0.1,29,107,10,tsm_llm_subset,llm_subset,146
