horizon,mse,rmse,mae,mape,noise_level,model
1,1.1588237493443299,1.0764867622708278,0.8083982731531454,1.428738402705013,0.05,tsm
5,4.974644065928659,2.2303910118920087,1.5696165683802725,2.711820883587161,0.05,tsm
20,38.765396818391345,6.226186378385355,4.149995346218369,7.486535185596726,0.05,tsm
30,69.17278535357087,8.317017816114793,5.727618862076391,10.853872663307099,0.05,tsm
1,1.1633477440573168,1.0785859928894481,0.8077365001979614,1.4285657354525527,0.1,tsm
5,4.981641650847132,2.2319591508016297,1.56534770366455,2.7048109844894515,0.1,tsm
20,38.76174770026348,6.225893325480567,4.147981655630845,7.482052933535023,0.1,tsm
30,69.19026480611835,8.318068574261597,5.731945827776621,10.862413283891515,0.1,tsm
1,1.1856148329892733,1.0888594183774476,0.8124762049331038,1.439493176190849,0.2,tsm
5,5.008915785469736,2.238060719790626,1.5615672653777517,2.6990120862951454,0.2,tsm
20,38.76566848008453,6.226208194405687,4.14466127951527,7.474509545109051,0.2,tsm
30,69.2396467480492,8.321036398673497,5.74308664224731,10.884056782954215,0.2,tsm
1,1.225507391794652,1.107026373576823,0.8243687896172138,1.4640361856820006,0.3,tsm
5,5.053895203588827,2.248087009790508,1.5726504327063913,2.718909701705286,0.3,tsm
20,38.78454794932162,6.2277241388264475,4.143907097331874,7.472021086714419,0.3,tsm
30,69.30825940776917,8.3251582211853,5.755274301515076,10.907766398392663,0.3,tsm
