horizon,mse,rmse,mae,mape,noise_level,model
1,10.475585257723456,3.23660088020186,2.0887723908878613,5.017957990797783,0.05,tsm
5,22.664387664503014,4.760712936578199,3.902528637616808,9.490467063947522,0.05,tsm
20,92.98246780362464,9.642741716110862,7.920153468738288,20.65753300103797,0.05,tsm
30,116.42942368227236,10.790246692373273,9.104744986590456,23.852049686061527,0.05,tsm
1,10.57710373769962,3.252245952830078,2.1049291167114608,5.059601122797137,0.1,tsm
5,22.616187057877067,4.7556479114708505,3.8886722864872976,9.455439119751068,0.1,tsm
20,92.93565663103207,9.640314135495382,7.92771233821,20.674745788655052,0.1,tsm
30,117.40978006352721,10.835579359846303,9.138746778182783,23.940063860647307,0.1,tsm
1,10.877255921738978,3.2980685138030377,2.1593861810276853,5.198390777158932,0.2,tsm
5,22.633810502663124,4.7575004469430295,3.8644438792176907,9.393546960617277,0.2,tsm
20,92.92877010278868,9.639956955442731,7.943423204455614,20.71070291592463,0.2,tsm
30,119.49525848445003,10.931388680513104,9.208004542716512,24.119116632155123,0.2,tsm
1,11.306895093411727,3.3625726896844514,2.2320349967215085,5.386981735946938,0.3,tsm
5,22.803466856312717,4.775297567305384,3.8508949739027765,9.359276318106028,0.3,tsm
20,93.03753134522054,9.64559647430995,7.9593082582980825,20.74708718634635,0.3,tsm
30,121.74709145307583,11.033906445727906,9.286899258782736,24.320691641294786,0.3,tsm
