horizon,mse,rmse,mae,mape,model,subset,n_samples
1,2.723353147506714,1.6502585411071777,1.1665034294128418,2.850651927292347,naive_persistence,full,143
5,9.136246681213379,3.022622585296631,2.240419626235962,5.424777045845985,naive_persistence,full,143
20,28.30125617980957,5.319892406463623,4.10930061340332,9.658028930425644,naive_persistence,full,143
30,35.12957763671875,5.927021026611328,4.845174789428711,11.389344185590744,naive_persistence,full,143
1,8.762406949390654,2.9601363058802974,2.1865037371228624,5.3638357995186245,seasonal_naive,full,143
5,9.136247203279721,3.022622570431135,2.2404195078603037,5.4247766960352966,seasonal_naive,full,143
20,28.30125239371155,5.319892141172747,4.109300466684195,9.658029345562195,seasonal_naive,full,143
30,35.12958053889057,5.927021219709828,4.845174602695279,11.389344174701252,seasonal_naive,full,143
1,2.621319758602812,1.619049029091711,1.2140802236703725,3.0135546063478196,linear_ridge,full,143
5,8.736016000566858,2.95567521906025,2.445023583365487,6.14386058355816,linear_ridge,full,143
20,28.14774279438521,5.305444636822178,4.2062060616233135,11.197924900119888,linear_ridge,full,143
30,31.673102403390327,5.627886139874396,4.160807069364961,11.104646760399012,linear_ridge,full,143
1,7.032539917407147,2.65189364745405,2.3087490855397044,6.033341104817584,linear_lasso,full,143
5,15.055707409810285,3.8801684769878597,3.3923092155189782,8.85003927284878,linear_lasso,full,143
20,36.10943957575356,6.009113044015195,4.835407003656134,13.003396825049343,linear_lasso,full,143
30,39.7311039498215,6.303261374068309,4.715649851552256,12.669797454998811,linear_lasso,full,143
1,2.6108181476593018,1.6158026456832886,1.1498099565505981,2.8021905571222305,tsm,full,143
5,9.610029220581055,3.1000046730041504,2.304884672164917,5.594159290194511,tsm,full,143
20,28.457204818725586,5.334529399871826,4.134666442871094,9.710285067558289,tsm,full,143
30,37.24147415161133,6.102579116821289,5.186895847320557,12.124697864055634,tsm,full,143
1,2.723353147506714,1.6502585411071777,1.1665034294128418,2.850651927292347,naive_persistence_llm_subset,llm_subset,143
5,9.136246681213379,3.022622585296631,2.240419626235962,5.424777045845985,naive_persistence_llm_subset,llm_subset,143
20,28.30125617980957,5.319892406463623,4.10930061340332,9.658028930425644,naive_persistence_llm_subset,llm_subset,143
30,35.12957763671875,5.927021026611328,4.845174789428711,11.389344185590744,naive_persistence_llm_subset,llm_subset,143
1,8.762406949390654,2.9601363058802974,2.1865037371228624,5.3638357995186245,seasonal_naive_llm_subset,llm_subset,143
5,9.136247203279721,3.022622570431135,2.2404195078603037,5.4247766960352966,seasonal_naive_llm_subset,llm_subset,143
20,28.30125239371155,5.319892141172747,4.109300466684195,9.658029345562195,seasonal_naive_llm_subset,llm_subset,143
30,35.12958053889057,5.927021219709828,4.845174602695279,11.389344174701252,seasonal_naive_llm_subset,llm_subset,143
1,2.621319758602812,1.619049029091711,1.2140802236703725,3.0135546063478196,linear_ridge_llm_subset,llm_subset,143
5,8.736016000566858,2.95567521906025,2.445023583365487,6.14386058355816,linear_ridge_llm_subset,llm_subset,143
20,28.14774279438521,5.305444636822178,4.2062060616233135,11.197924900119888,linear_ridge_llm_subset,llm_subset,143
30,31.673102403390327,5.627886139874396,4.160807069364961,11.104646760399012,linear_ridge_llm_subset,llm_subset,143
1,7.032539917407147,2.65189364745405,2.3087490855397044,6.033341104817584,linear_lasso_llm_subset,llm_subset,143
5,15.055707409810285,3.8801684769878597,3.3923092155189782,8.85003927284878,linear_lasso_llm_subset,llm_subset,143
20,36.10943957575356,6.009113044015195,4.835407003656134,13.003396825049343,linear_lasso_llm_subset,llm_subset,143
30,39.7311039498215,6.303261374068309,4.715649851552256,12.669797454998811,linear_lasso_llm_subset,llm_subset,143
1,2.6108181476593018,1.6158026456832886,1.1498099565505981,2.8021905571222305,tsm_llm_subset,llm_subset,143
5,9.610029220581055,3.1000046730041504,2.304884672164917,5.594159290194511,tsm_llm_subset,llm_subset,143
20,28.457204818725586,5.334529399871826,4.134666442871094,9.710285067558289,tsm_llm_subset,llm_subset,143
30,37.24147415161133,6.102579116821289,5.186895847320557,12.124697864055634,tsm_llm_subset,llm_subset,143
