horizon,mse,rmse,mae,mape,noise_level,model
1,11.25235083975686,3.354452390444208,2.2584405936030563,3.1714295371611163,0.05,tsm
5,26.437612359700648,5.1417518765203605,4.141797249883073,5.8494349268169055,0.05,tsm
20,132.46214688572647,11.509220081557501,9.652877309195562,14.731596434819313,0.05,tsm
30,226.2036779206582,15.040069079650472,12.080279471866191,18.875710107105164,0.05,tsm
1,11.255616945927544,3.354939186621353,2.2644172827337075,3.183878678743242,0.1,tsm
5,26.52583114934475,5.15032340240346,4.149378062240368,5.856580459673622,0.1,tsm
20,132.30611170684915,11.50243938070743,9.64367335718741,14.71683084649257,0.1,tsm
30,227.95204523813067,15.098080846191369,12.093065896932629,18.897379808057156,0.1,tsm
1,11.472271491231243,3.387074178584113,2.2943447671459345,3.2331753433490427,0.2,tsm
5,26.863558979326083,5.183006750847049,4.181590784517986,5.895967222379439,0.2,tsm
20,132.1101253043697,11.493916882610979,9.625265453171105,14.687299669839081,0.2,tsm
30,231.67710009766466,15.220942812377446,12.118638747065509,18.940719209961138,0.2,tsm
1,11.969089161085387,3.459637142979793,2.368562766863341,3.3405743092396003,0.3,tsm
5,27.416340537680032,5.236061548308999,4.228316033713205,5.957219782072384,0.3,tsm
20,132.0689175024045,11.492124151017709,9.608943292200253,14.660612575784699,0.3,tsm
30,235.70658183031497,15.352738577540977,12.144211595459897,18.98405860934666,0.3,tsm
