horizon,mse,rmse,mae,mape,noise_level,model
1,1.168314807158552,1.080886121272057,0.8120751577409462,1.4354000221457563,0.05,tsm
5,4.9390347233182625,2.222393917224906,1.57331287537927,2.719869785427997,0.05,tsm
20,38.2381337914967,6.183699037913852,4.049467069355505,7.296854291652183,0.05,tsm
30,71.60729796856943,8.462109546003846,5.706442071753168,10.844543125232903,0.05,tsm
1,1.1708033989833726,1.0820366902205176,0.812053958136312,1.4362495968027835,0.1,tsm
5,4.946189115430396,2.2240029486109942,1.5715366117510678,2.7170702641703497,0.1,tsm
20,38.23108615584861,6.183129155682308,4.048674601543993,7.294750391023183,0.1,tsm
30,71.59592098863664,8.461437288583816,5.70734745332006,10.846606805424422,0.1,tsm
1,1.1851164499403195,1.0886305387689248,0.8147877197298307,1.443121171412276,0.2,tsm
5,4.970032701622035,2.2293570152898425,1.568420201634253,2.7121698302138078,0.2,tsm
20,38.225409599957445,6.182670102791952,4.04820017824113,7.292495310472989,0.2,tsm
30,71.58397066588229,8.460731095235346,5.7109306739909265,10.85405579483351,0.2,tsm
1,1.2118773245667704,1.1008529986182398,0.8206208533597221,1.4559534631573174,0.3,tsm
5,5.006589356485037,2.2375409172761596,1.5714984081156222,2.7178539547366944,0.3,tsm
20,38.23095800566814,6.183118792783149,4.047767631745982,7.290313865716441,0.3,tsm
30,71.5864251925559,8.460876148044946,5.7198960781897705,10.871814344772808,0.3,tsm
