horizon,mse,rmse,mae,mape,noise_level,model
1,2.610325994526795,1.6156503317632795,1.1531405003561048,2.8107269298604143,0.05,tsm
5,9.58969114282347,3.0967226454468717,2.301476470025296,5.5875054857339315,0.05,tsm
20,28.339449198773828,5.323480928750833,4.106034958327331,9.628670765474547,0.05,tsm
30,37.21161154260073,6.100132092225604,5.17206650480376,12.091872428833108,0.05,tsm
1,2.6212976302796704,1.6190421953363878,1.156462086792268,2.8183624245086523,0.1,tsm
5,9.596744226315295,3.097861234192922,2.30103808473379,5.587509607653627,0.1,tsm
20,28.308218631007296,5.320546835712218,4.10327827189805,9.622559367989425,0.1,tsm
30,37.108841083492514,6.091702642405694,5.1640388442056615,12.074953008580808,0.1,tsm
1,2.65332970752578,1.6289044500908516,1.1668631933948777,2.8420687302425205,0.2,tsm
5,9.622424725334144,3.102003340638779,2.3008931644929147,5.58897080049656,0.2,tsm
20,28.253982834261734,5.315447566692924,4.09776489903949,9.610336573019177,0.2,tsm
30,36.91221649643868,6.075542485773487,5.147987322106791,12.041121737507229,0.2,tsm
1,2.6988135287141746,1.6428066011293523,1.1802258285073783,2.872412115703766,0.3,tsm
5,9.663537672849005,3.108623115279336,2.3040408132967745,5.597253289367968,0.3,tsm
20,28.210714156219954,5.311375919309417,4.097713520595707,9.610218059121923,0.3,tsm
30,36.7274803390427,6.060320151530173,5.132276208306624,12.007968705841474,0.3,tsm
