horizon,mse,rmse,mae,mape,noise_level,model
1,1.4215038268050364,1.192268353519893,0.904489289717945,2.295275364404585,0.05,tsm
5,4.137585645954666,2.03410561327446,1.5137416760108136,3.823584010694324,0.05,tsm
20,25.650429767599473,5.064625333388391,4.021139166248838,9.989586885839099,0.05,tsm
30,35.89052651741139,5.990870263777325,4.892600387736231,12.006791317592711,0.05,tsm
1,1.4293532372243787,1.195555618624403,0.9097198393476464,2.3086284605915144,0.1,tsm
5,4.144331514211605,2.0357631282179183,1.5110334757123631,3.817645984454312,0.1,tsm
20,25.670621926169776,5.066618391606948,4.025083375548362,10.000419033828102,0.1,tsm
30,35.900947806018365,5.991739964819765,4.893037250583498,12.008846301849488,0.1,tsm
1,1.4629147313444624,1.2095101203977014,0.9229960198837512,2.3422246896635563,0.2,tsm
5,4.172696052023708,2.0427178101792984,1.5100971263040175,3.816999785076436,0.2,tsm
20,25.72304898980125,5.07178952538463,4.032971794147412,10.022083329806113,0.2,tsm
30,35.93515208371146,5.994593571186579,4.893910976278028,12.012956270363043,0.2,tsm
1,1.5202931311791974,1.233001675254011,0.941241238124431,2.387783881613709,0.3,tsm
5,4.22089099808697,2.0544807125127678,1.518751536260054,3.839322784436134,0.3,tsm
20,25.791533053687008,5.078536507074356,4.043099172477396,10.04888718708802,0.3,tsm
30,35.98717198643183,5.998930903622064,4.89592019105523,12.020238882254956,0.3,tsm
