horizon,mse,rmse,mae,mape,model
1,0.00032149560865946114,0.017930299043655396,0.01399148814380169,99.30530190467834,naive_persistence
5,0.0015514068072661757,0.03938790038228035,0.029564645141363144,99.75723624229431,naive_persistence
20,0.013477993197739124,0.11609476059675217,0.07768365740776062,99.99991655349731,naive_persistence
30,0.025530079379677773,0.159781351685524,0.1138707771897316,99.99997019767761,naive_persistence
1,0.0015666649912670714,0.03958111912600592,0.029516197899640526,1866759.625236099,seasonal_naive
5,0.001551406673394811,0.039387900088666966,0.029564647568299227,99.75722709425457,seasonal_naive
20,0.01347799371644916,0.11609476179591033,0.0776836524439406,99.99991237387272,seasonal_naive
30,0.025530079411299575,0.1597813487591702,0.1138707690729967,99.99996449984039,seasonal_naive
1,0.0003226956097561545,0.01796373039644479,0.013902971962746183,90096.70695042817,linear_ridge
5,0.001305756488203564,0.0361352527070666,0.027252509710697537,176740.055580822,linear_ridge
20,0.009288190691075546,0.0963752597458266,0.05777280876473818,388.9060718060829,linear_ridge
30,0.01858972481766692,0.1363441411196936,0.0845053479181978,108.3985857921864,linear_ridge
1,0.0003597289316489779,0.01896652133758265,0.014864993853965867,541700.4145306062,linear_lasso
5,0.0013807069979059115,0.03715786589547241,0.028374776309593182,56068.22007053413,linear_lasso
20,0.009757737579781283,0.09878126127855061,0.05921296077497034,249.31343975795758,linear_lasso
30,0.020103208207703158,0.14178578281232276,0.09256596965633565,80.80651791222313,linear_lasso
1,0.0003477474092505872,0.01864798739552498,0.014422612264752388,134316.7236328125,tsm
5,0.0013920391211286187,0.03731004148721695,0.02753879874944687,7850.946044921875,tsm
20,0.011410185135900974,0.10681846737861633,0.06938023120164871,452.87561416625977,tsm
30,0.02290434017777443,0.15134179592132568,0.10082648694515228,105.3983211517334,tsm
1,0.00032149560865946114,0.017930299043655396,0.01399148814380169,99.30530190467834,naive_persistence_llm_subset
5,0.0015514068072661757,0.03938790038228035,0.029564645141363144,99.75723624229431,naive_persistence_llm_subset
20,0.013477993197739124,0.11609476059675217,0.07768365740776062,99.99991655349731,naive_persistence_llm_subset
30,0.025530079379677773,0.159781351685524,0.1138707771897316,99.99997019767761,naive_persistence_llm_subset
1,0.0015666649912670714,0.03958111912600592,0.029516197899640526,1866759.625236099,seasonal_naive_llm_subset
5,0.001551406673394811,0.039387900088666966,0.029564647568299227,99.75722709425457,seasonal_naive_llm_subset
20,0.01347799371644916,0.11609476179591033,0.0776836524439406,99.99991237387272,seasonal_naive_llm_subset
30,0.025530079411299575,0.1597813487591702,0.1138707690729967,99.99996449984039,seasonal_naive_llm_subset
1,0.0003226956097561545,0.01796373039644479,0.013902971962746183,90096.70695042817,linear_ridge_llm_subset
5,0.001305756488203564,0.0361352527070666,0.027252509710697537,176740.055580822,linear_ridge_llm_subset
20,0.009288190691075546,0.0963752597458266,0.05777280876473818,388.9060718060829,linear_ridge_llm_subset
30,0.01858972481766692,0.1363441411196936,0.0845053479181978,108.3985857921864,linear_ridge_llm_subset
1,0.0003597289316489779,0.01896652133758265,0.014864993853965867,541700.4145306062,linear_lasso_llm_subset
5,0.0013807069979059115,0.03715786589547241,0.028374776309593182,56068.22007053413,linear_lasso_llm_subset
20,0.009757737579781283,0.09878126127855061,0.05921296077497034,249.31343975795758,linear_lasso_llm_subset
30,0.020103208207703158,0.14178578281232276,0.09256596965633565,80.80651791222313,linear_lasso_llm_subset
1,0.0003477474092505872,0.01864798739552498,0.014422612264752388,134316.7236328125,tsm_llm_subset
5,0.0013920391211286187,0.03731004148721695,0.02753879874944687,7850.946044921875,tsm_llm_subset
20,0.011410185135900974,0.10681846737861633,0.06938023120164871,452.87561416625977,tsm_llm_subset
30,0.02290434017777443,0.15134179592132568,0.10082648694515228,105.3983211517334,tsm_llm_subset
