horizon,mse,rmse,mae,mape,noise_level,model
1,1.4222679289364104,1.1925887509684177,0.9047669046477909,2.295905838194391,0.05,tsm
5,4.135015069233983,2.033473646063303,1.5131511782772158,3.8223153306331796,0.05,tsm
20,25.592105409966848,5.058864043435724,4.016850831331488,9.978809472975273,0.05,tsm
30,35.77823339808653,5.981490900944891,4.884769985130643,11.986864415078987,0.05,tsm
1,1.4301093546005235,1.1958717968915078,0.9099852658650059,2.3092315247262976,0.1,tsm
5,4.141569376687771,2.035084611677797,1.510380941823007,3.8162421225416896,0.1,tsm
20,25.612886598555015,5.060917564884358,4.020517819709396,9.98901085191656,0.1,tsm
30,35.78779227520092,5.982289885587368,4.885180375367503,11.988851028733759,0.1,tsm
1,1.4636472233908477,1.2098128877602716,0.9232371277748771,2.3427730722036944,0.2,tsm
5,4.169590229096122,2.0419574503637734,1.5095626983695922,3.815832523439085,0.2,tsm
20,25.66648918399723,5.066210534906463,4.0285164561945965,10.010940159444079,0.2,tsm
30,35.82027726230071,5.985004366105401,4.886001155841225,11.992824256043304,0.2,tsm
1,1.5209917902586596,1.233284959066095,0.9414309187233967,2.388219066771619,0.3,tsm
5,4.2174940728410215,2.05365383471534,1.5185500436580284,3.83883889509268,0.3,tsm
20,25.736145379653227,5.073080462564459,4.037590896261858,10.035424236100477,0.3,tsm
30,35.87058523197691,5.989205726302688,4.887957902037392,11.999971458686714,0.3,tsm
