horizon,mse,rmse,mae,mape,noise_level,model
1,11.305956203545286,3.362433077928137,2.261900931764531,3.180136035680671,0.05,tsm
5,27.06407110130607,5.2023140141004625,4.20762923926229,5.950431608230457,0.05,tsm
20,125.38812991682188,11.1976841318561,9.35020987167741,14.241409527892676,0.05,tsm
30,218.816286031206,14.792440164868202,11.882654109751085,18.532073872249743,0.05,tsm
1,11.297250165703682,3.3611382247244284,2.263907564205763,3.1857138445537414,0.1,tsm
5,27.15102565136321,5.210664607452989,4.215414692990415,5.957628413741511,0.1,tsm
20,125.24989041070133,11.191509746709839,9.340640848678284,14.226142811822065,0.1,tsm
30,220.47303155588398,14.848334302401868,11.895014040500271,18.552865989377498,0.1,tsm
1,11.479475102137418,3.388137408981138,2.292116475154103,3.231694988958128,0.2,tsm
5,27.479377709628146,5.24207761385008,4.24337616158801,5.99019852541911,0.2,tsm
20,125.07902944949406,11.183873633473066,9.327546744367869,14.204101698749067,0.2,tsm
30,224.0032860067937,14.966739324475245,11.919733901998647,18.594450223633018,0.2,tsm
1,11.927882764186105,3.4536767023255237,2.351976654490466,3.320217351483248,0.3,tsm
5,28.01365370683042,5.292792618913991,4.287468480926976,6.047244781588885,0.3,tsm
20,125.04899245063015,11.182530681855075,9.318404705404484,14.187200854030838,0.3,tsm
30,227.82255895697963,15.093792066839255,11.944453769547339,18.63603446738234,0.3,tsm
