horizon,mse,rmse,mae,mape,noise_level,model
1,10.458492213234884,3.2339592163839797,2.09509088389306,5.033430362059696,0.05,tsm
5,22.446509513866264,4.7377747428372174,3.8731284676031392,9.417804105882738,0.05,tsm
20,92.33285413173242,9.60899860192166,7.8953452024033055,20.59364898921473,0.05,tsm
30,113.45925071905721,10.651725246130658,8.97818423769493,23.52843382834564,0.05,tsm
1,10.561174030226187,3.249795998247611,2.11231956712063,5.07840432242726,0.1,tsm
5,22.392813219141765,4.732104523268877,3.8582641629559413,9.380739268987872,0.1,tsm
20,92.28352832705298,9.606431612573576,7.903219506243696,20.61181569116718,0.1,tsm
30,114.4219341188656,10.696818878473431,9.01083675169232,23.612425135377325,0.1,tsm
1,10.862440447182353,3.295821664954333,2.1653152559218634,5.2132204195517655,0.2,tsm
5,22.397027704915022,4.732549810082829,3.832969234568138,9.316378536448186,0.2,tsm
20,92.27038543684297,9.605747520981538,7.919116665156296,20.648489574653034,0.2,tsm
30,116.46993415062461,10.792123709012264,9.081314735350007,23.794405450337813,0.2,tsm
1,11.291577273331727,3.3602942242208087,2.2348431253781724,5.39379333889117,0.3,tsm
5,22.550051585417187,4.748689459779107,3.820188382802382,9.284043968979065,0.3,tsm
20,92.37125421890813,9.61099652579836,7.935347174459288,20.685927497581194,0.3,tsm
30,118.68144518812726,10.89410139424667,9.156773257736099,23.988255737056395,0.3,tsm
