horizon,mse,rmse,mae,mape,noise_level,model
1,2.6254808946844377,1.6203335751271828,1.1591535789934884,2.826459160376687,0.05,tsm
5,9.579796310148147,3.0951246033315276,2.3031350429516637,5.596407895645247,0.05,tsm
20,28.156240166029974,5.3062453925567725,4.117379095515754,9.681978282191439,0.05,tsm
30,36.521906961413556,6.043335747864217,5.1216455064827295,11.994558670402979,0.05,tsm
1,2.6355114947808223,1.6234258513344002,1.1624894725596115,2.834166706373867,0.1,tsm
5,9.585275665548131,3.0960096358939406,2.302504395493273,5.596083568484597,0.1,tsm
20,28.12579198940175,5.303375527850329,4.114790247760965,9.676424877423212,0.1,tsm
30,36.4197722757609,6.0348796405364125,5.114105663174257,11.978722044826744,0.1,tsm
1,2.6658627361422598,1.632746990853837,1.1727930158042381,2.857805388589654,0.2,tsm
5,9.607985994761181,3.099675143424095,2.303451129843728,5.599818534336571,0.2,tsm
20,28.073576980408497,5.298450432004484,4.10980659076153,9.665764749554064,0.2,tsm
30,36.224809491734845,6.018704967992271,5.099025976557315,11.94704879367428,0.2,tsm
1,2.7099340334784676,1.6461877272894692,1.1860247545485938,2.888101044651726,0.3,tsm
5,9.646365147556743,3.10585980809771,2.30684669522898,5.608853531564996,0.3,tsm
20,28.032937094277646,5.294613970279387,4.1083547559113525,9.662760858697196,0.3,tsm
30,36.04225547771504,6.003520257125401,5.083946288679363,11.915375540005469,0.3,tsm
1,3.0172284321506746,1.7370171076160057,1.224774271415861,2.9841638517492575,0.05,TSM+LLM-COT-SENT-RF
5,10.501728362430997,3.240637030343108,2.4275887006146712,5.860561927731767,0.05,TSM+LLM-COT-SENT-RF
20,30.46534956479337,5.5195425140851455,4.29156485217979,10.072478575699238,0.05,TSM+LLM-COT-SENT-RF
30,39.584644741598034,6.291632915356556,5.362083908575157,12.544295727869867,0.05,TSM+LLM-COT-SENT-RF
1,3.035305369198227,1.7422127795416456,1.2303177202485425,2.995847069747456,0.1,TSM+LLM-COT-SENT-RF
5,10.529894742407262,3.2449799294305754,2.427517878011581,5.86072220885149,0.1,TSM+LLM-COT-SENT-RF
20,30.461960081078946,5.519235461644932,4.289695601867363,10.068862971762192,0.1,TSM+LLM-COT-SENT-RF
30,39.48322248965443,6.283567656169099,5.35507715774868,12.529735995476818,0.1,TSM+LLM-COT-SENT-RF
1,3.082566259803287,1.7557238563633197,1.2422614790918327,3.021112413588149,0.2,TSM+LLM-COT-SENT-RF
5,10.60013668603224,3.2557851105428073,2.4311196075506625,5.869953446870099,0.2,TSM+LLM-COT-SENT-RF
20,30.464454262948422,5.519461410586039,4.2870498804304225,10.064210474693896,0.2,TSM+LLM-COT-SENT-RF
30,39.28922979190211,6.268112139384721,5.341063656095727,12.500616530690722,0.2,TSM+LLM-COT-SENT-RF
1,3.1446365057549546,1.7733122978637899,1.2570205655020956,3.0526378503198193,0.3,TSM+LLM-COT-SENT-RF
5,10.688924207887146,3.2693920241976406,2.4348536688380977,5.879533845160541,0.3,TSM+LLM-COT-SENT-RF
20,30.479312643882366,5.520807245673622,4.284421067058218,10.059598225341404,0.3,TSM+LLM-COT-SENT-RF
30,39.10703950232963,6.253562145076167,5.327050154442775,12.471497065904625,0.3,TSM+LLM-COT-SENT-RF
