horizon,mse,rmse,mae,mape,noise_level,model
1,2.6254808946844377,1.6203335751271828,1.1591535789934884,2.826459160376687,0.05,tsm
5,9.579796310148147,3.0951246033315276,2.3031350429516637,5.596407895645247,0.05,tsm
20,28.156240166029974,5.3062453925567725,4.117379095515754,9.681978282191439,0.05,tsm
30,36.521906961413556,6.043335747864217,5.1216455064827295,11.994558670402979,0.05,tsm
1,2.6355114947808223,1.6234258513344002,1.1624894725596115,2.834166706373867,0.1,tsm
5,9.585275665548131,3.0960096358939406,2.302504395493273,5.596083568484597,0.1,tsm
20,28.12579198940175,5.303375527850329,4.114790247760965,9.676424877423212,0.1,tsm
30,36.4197722757609,6.0348796405364125,5.114105663174257,11.978722044826744,0.1,tsm
1,2.6658627361422598,1.632746990853837,1.1727930158042381,2.857805388589654,0.2,tsm
5,9.607985994761181,3.099675143424095,2.303451129843728,5.599818534336571,0.2,tsm
20,28.073576980408497,5.298450432004484,4.10980659076153,9.665764749554064,0.2,tsm
30,36.224809491734845,6.018704967992271,5.099025976557315,11.94704879367428,0.2,tsm
1,2.7099340334784676,1.6461877272894692,1.1860247545485938,2.888101044651726,0.3,tsm
5,9.646365147556743,3.10585980809771,2.30684669522898,5.608853531564996,0.3,tsm
20,28.032937094277646,5.294613970279387,4.1083547559113525,9.662760858697196,0.3,tsm
30,36.04225547771504,6.003520257125401,5.083946288679363,11.915375540005469,0.3,tsm
1,2.6250569112281372,1.6202027376930757,1.1591051772732897,2.826358132118373,0.05,TSM+LLM-COT-RF-HDELTA
5,9.707219961037072,3.115641179763336,2.299502193675862,5.575265710985891,0.05,TSM+LLM-COT-RF-HDELTA
20,28.15442523656394,5.306074371563589,4.097690137615987,9.620200822980738,0.05,TSM+LLM-COT-RF-HDELTA
30,36.99905953498297,6.0826852240587765,5.1486746773190815,12.050166072977367,0.05,TSM+LLM-COT-RF-HDELTA
1,2.634543309788151,1.623127632008078,1.1623926691192137,2.833964649857239,0.1,TSM+LLM-COT-RF-HDELTA
5,9.710066360778681,3.1160979382520506,2.2998770346038393,5.576796169435841,0.1,TSM+LLM-COT-RF-HDELTA
20,28.12078750873034,5.30290368654102,4.093782863444772,9.611307567685481,0.1,TSM+LLM-COT-RF-HDELTA
30,36.89574192664483,6.074186523860198,5.141038275639572,12.034026031117664,0.1,TSM+LLM-COT-RF-HDELTA
1,2.663445493836658,1.6320065851082397,1.172169906911645,2.8564371858159796,0.2,TSM+LLM-COT-RF-HDELTA
5,9.727289514735892,3.118860290993473,2.300822221255542,5.58029800829126,0.2,TSM+LLM-COT-RF-HDELTA
20,28.061915137792415,5.2973498221084485,4.086158369026763,9.593958566142916,0.2,TSM+LLM-COT-RF-HDELTA
30,36.69822699766978,6.057906156228386,5.125765472280549,12.001745947398264,0.2,TSM+LLM-COT-RF-HDELTA
1,2.705586860456464,1.6448668214954256,1.1848764039071946,2.8855699430119794,0.3,TSM+LLM-COT-RF-HDELTA
5,9.759886474658423,3.1240817010216655,2.3043876530448557,5.589555397178163,0.3,TSM+LLM-COT-RF-HDELTA
20,28.014246879826874,5.292848654536314,4.083022948776333,9.587256027004413,0.3,TSM+LLM-COT-RF-HDELTA
30,36.51287245229638,6.042588224618353,5.1104926689215295,11.969465863678863,0.3,TSM+LLM-COT-RF-HDELTA
