horizon,mse,rmse,mae,mape,noise_level,model
1,2.6254808946844377,1.6203335751271828,1.1591535789934884,2.826459160376687,0.05,tsm
5,9.579796310148147,3.0951246033315276,2.3031350429516637,5.596407895645247,0.05,tsm
20,28.156240166029974,5.3062453925567725,4.117379095515754,9.681978282191439,0.05,tsm
30,36.521906961413556,6.043335747864217,5.1216455064827295,11.994558670402979,0.05,tsm
1,2.6355114947808223,1.6234258513344002,1.1624894725596115,2.834166706373867,0.1,tsm
5,9.585275665548131,3.0960096358939406,2.302504395493273,5.596083568484597,0.1,tsm
20,28.12579198940175,5.303375527850329,4.114790247760965,9.676424877423212,0.1,tsm
30,36.4197722757609,6.0348796405364125,5.114105663174257,11.978722044826744,0.1,tsm
1,2.6658627361422598,1.632746990853837,1.1727930158042381,2.857805388589654,0.2,tsm
5,9.607985994761181,3.099675143424095,2.303451129843728,5.599818534336571,0.2,tsm
20,28.073576980408497,5.298450432004484,4.10980659076153,9.665764749554064,0.2,tsm
30,36.224809491734845,6.018704967992271,5.099025976557315,11.94704879367428,0.2,tsm
1,2.7099340334784676,1.6461877272894692,1.1860247545485938,2.888101044651726,0.3,tsm
5,9.646365147556743,3.10585980809771,2.30684669522898,5.608853531564996,0.3,tsm
20,28.032937094277646,5.294613970279387,4.1083547559113525,9.662760858697196,0.3,tsm
30,36.04225547771504,6.003520257125401,5.083946288679363,11.915375540005469,0.3,tsm
1,2.625143330205581,1.6202294066599277,1.1591084088165855,2.826368888204049,0.05,TSM+LLM-COT-RF-HDELTA
5,9.674668126618739,3.1104128546896694,2.2943890838284937,5.561280926150915,0.05,TSM+LLM-COT-RF-HDELTA
20,28.00769037945416,5.292229244794122,4.08436092099725,9.595881486189342,0.05,TSM+LLM-COT-RF-HDELTA
30,36.834055497169814,6.069106647371573,5.136334619137378,12.023881258935832,0.05,TSM+LLM-COT-RF-HDELTA
1,2.634702946174996,1.6231768068127994,1.162399132205806,2.8339861620285918,0.1,TSM+LLM-COT-RF-HDELTA
5,9.677846695111755,3.1109237687721882,2.295600406178963,5.5646053380043545,0.1,TSM+LLM-COT-RF-HDELTA
20,27.97503538391328,5.289143161601252,4.0808944617295,9.588003851156296,0.1,TSM+LLM-COT-RF-HDELTA
30,36.73040556936592,6.0605614896118265,5.128581679835196,12.007408711905367,0.1,TSM+LLM-COT-RF-HDELTA
1,2.6637119603381665,1.6320882207583531,1.1720774021468037,2.856204429517074,0.2,TSM+LLM-COT-RF-HDELTA
5,9.69571479103878,3.113794275644873,2.2980230508799036,5.571254161711233,0.2,TSM+LLM-COT-RF-HDELTA
20,27.918163562246377,5.283764147106339,4.0742690297045385,9.572979598210756,0.2,TSM+LLM-COT-RF-HDELTA
30,36.53210727998829,6.044179620096369,5.11307580123083,11.974463617844433,0.2,TSM+LLM-COT-RF-HDELTA
1,2.7059073508004605,1.644964239976195,1.184737646759933,2.8852208085636226,0.3,TSM+LLM-COT-RF-HDELTA
5,9.728930832220444,3.1191234076612684,2.300498626934936,5.578024387610646,0.3,TSM+LLM-COT-RF-HDELTA
20,27.872542633132603,5.279445295969322,4.072105700250385,9.568519441148009,0.3,TSM+LLM-COT-RF-HDELTA
30,36.34581107891755,6.0287487158545225,5.097569922626464,11.9415185237835,0.3,TSM+LLM-COT-RF-HDELTA
