horizon,mse,rmse,mae,mape,noise_level,model
1,1.4153249067932454,1.1896742860099336,0.9037198200388455,2.2924988328933726,0.05,tsm
5,4.1187147857191615,2.0294616985100165,1.5079055703347115,3.8080728808823254,0.05,tsm
20,25.41606499141903,5.0414348147545285,4.0053748232067345,9.953870147289122,0.05,tsm
30,35.628595970379266,5.96896942280485,4.875750114151059,11.971356600034595,0.05,tsm
1,1.4231358143337742,1.1929525616443322,0.9091558946029465,2.3063737292272473,0.1,tsm
5,4.127021831429905,2.031507280673615,1.5053185068431918,3.8020164037611113,0.1,tsm
20,25.43519539740746,5.0433317754642575,4.0099694101823316,9.96614475913247,0.1,tsm
30,35.643012199740625,5.970176898529944,4.876200565542259,11.97343541199431,0.1,tsm
1,1.45659630008837,1.2068953144694738,0.9227335952990152,2.3407914145985242,0.2,tsm
5,4.158912260169676,2.039341133839475,1.5056055669932382,3.8040751717446906,0.2,tsm
20,25.485699596434706,5.048336319663608,4.019158584133526,9.990693982819163,0.2,tsm
30,35.6856295191887,5.973745016251422,4.877101468324659,11.977593035913737,0.2,tsm
1,1.5138416838924333,1.2303827387818935,0.941319479079987,2.387161024618168,0.3,tsm
5,4.21117114706616,2.0521138241009345,1.5150047084897589,3.8282588615125754,0.3,tsm
20,25.55252830488064,5.054950870669332,4.028886915276187,10.016524778456441,0.3,tsm
30,35.74662665068336,5.978848271254536,4.880565350389716,11.988910177536667,0.3,tsm
1,1.4149667529285792,1.189523750468472,0.9035262237869398,2.291989368610641,0.05,TSM+LLM-COT-RF-HDELTA
5,4.1908888866440375,2.0471660623027232,1.5218909587104117,3.8364123801856165,0.05,TSM+LLM-COT-RF-HDELTA
20,25.092185813542788,5.009210098762358,3.9724908630333156,9.865810068168036,0.05,TSM+LLM-COT-RF-HDELTA
30,35.33826930842911,5.944600012484365,4.839939595907415,11.875067523118766,0.05,TSM+LLM-COT-RF-HDELTA
1,1.4222413713614266,1.1925776164935458,0.9084531608544419,2.304604940254068,0.1,TSM+LLM-COT-RF-HDELTA
5,4.201327862979643,2.0497140929845905,1.5213801174029895,3.835267951687254,0.1,TSM+LLM-COT-RF-HDELTA
20,25.108061739193428,5.010794521749363,3.976790549626014,9.877337997024844,0.1,TSM+LLM-COT-RF-HDELTA
30,35.34618075541824,5.945265406642351,4.840150276966083,11.87655745594361,0.1,TSM+LLM-COT-RF-HDELTA
1,1.4540948731716081,1.2058585626729232,0.921465027371563,2.3375656384458576,0.2,TSM+LLM-COT-RF-HDELTA
5,4.236888386916542,2.058370323075161,1.5229439847404846,3.8400967888370636,0.2,TSM+LLM-COT-RF-HDELTA
20,25.151898196726467,5.015166816440552,3.985389922811409,9.900393854738468,0.2,TSM+LLM-COT-RF-HDELTA
30,35.37535583296203,5.947718540159919,4.840571639083424,11.8795373215933,0.2,TSM+LLM-COT-RF-HDELTA
1,1.509020728241105,1.2284220480930423,0.938721248499969,2.3806510331697806,0.3,TSM+LLM-COT-RF-HDELTA
5,4.29202567254103,2.071720461968996,1.5333800712925525,3.866934372685353,0.3,TSM+LLM-COT-RF-HDELTA
20,25.211847462568535,5.021140056059832,3.9945284529382445,9.924731283513069,0.3,TSM+LLM-COT-RF-HDELTA
30,35.42233382192652,5.951666474352081,4.841110099439458,11.88283977189547,0.3,TSM+LLM-COT-RF-HDELTA
