horizon,mse,rmse,mae,mape,model
1,0.0003209654532838613,0.0179155096411705,0.01393866166472435,99.30530190467834,naive_persistence
5,0.0015659304335713387,0.039571840316057205,0.02980339154601097,99.75721836090088,naive_persistence
20,0.013517623767256737,0.11626531928777695,0.07781530171632767,99.99990463256836,naive_persistence
30,0.02558400295674801,0.15995000302791595,0.11421579867601395,99.99997019767761,naive_persistence
1,0.0015811888584503482,0.03976416550677693,0.02975494242053805,1866788.7676063303,seasonal_naive
5,0.001565930458367185,0.03957183920880081,0.029803390276760586,99.75722055161515,seasonal_naive
20,0.013517623650638863,0.11626531576802629,0.07781530115365357,99.99990554306086,seasonal_naive
30,0.025584002708545505,0.15995000065190842,0.11421580664399603,99.9999657377514,seasonal_naive
1,0.00031025910539925195,0.017614173423673673,0.013766635701854622,10798.853779788185,linear_ridge
5,0.001318774691782624,0.036314937584727085,0.02730776230330967,170399.90743184305,linear_ridge
20,0.009256860073294262,0.0962125775213109,0.05768177586704626,407.4114198674811,linear_ridge
30,0.018626753706899542,0.1364798655732762,0.08536900339128634,103.00231001415088,linear_ridge
1,0.00034098907457596355,0.018465889487808692,0.014533325739703503,647431.645631017,linear_lasso
5,0.00137539040168431,0.03708625623710635,0.02819471653173052,60598.096035118724,linear_lasso
20,0.009738598312900377,0.09868433671510579,0.0591871546575581,257.2728158269382,linear_lasso
30,0.02008516278792223,0.14172213231504185,0.09303415257555868,81.22532062227309,linear_lasso
1,0.00033352896571159363,0.018262775614857674,0.014230095781385899,88790.71044921875,tsm
5,0.001482608262449503,0.03850465267896652,0.028918912634253502,58752.520751953125,tsm
20,0.01225734781473875,0.11071290820837021,0.07375288009643555,462.4842166900635,tsm
30,0.023472461849451065,0.15320725739002228,0.1037977784872055,111.20736598968506,tsm
1,0.00033352890414489343,0.018262773725392686,0.014230094386936207,88792.26778453514,TSM+LLM-COT-RF-HDELTA
5,0.001489872177424883,0.0385988623851129,0.029117479661730852,131657.4566336477,TSM+LLM-COT-RF-HDELTA
20,0.012158123535810864,0.11026388137468618,0.07256174033254803,486.9190384051443,TSM+LLM-COT-RF-HDELTA
30,0.02316774143534334,0.1522095313551137,0.10207212967742829,110.50483320311324,TSM+LLM-COT-RF-HDELTA
1,0.0003209654532838613,0.0179155096411705,0.01393866166472435,99.30530190467834,naive_persistence_llm_subset
5,0.0015659304335713387,0.039571840316057205,0.02980339154601097,99.75721836090088,naive_persistence_llm_subset
20,0.013517623767256737,0.11626531928777695,0.07781530171632767,99.99990463256836,naive_persistence_llm_subset
30,0.02558400295674801,0.15995000302791595,0.11421579867601395,99.99997019767761,naive_persistence_llm_subset
1,0.0015811888584503482,0.03976416550677693,0.02975494242053805,1866788.7676063303,seasonal_naive_llm_subset
5,0.001565930458367185,0.03957183920880081,0.029803390276760586,99.75722055161515,seasonal_naive_llm_subset
20,0.013517623650638863,0.11626531576802629,0.07781530115365357,99.99990554306086,seasonal_naive_llm_subset
30,0.025584002708545505,0.15995000065190842,0.11421580664399603,99.9999657377514,seasonal_naive_llm_subset
1,0.00031025910539925195,0.017614173423673673,0.013766635701854622,10798.853779788185,linear_ridge_llm_subset
5,0.001318774691782624,0.036314937584727085,0.02730776230330967,170399.90743184305,linear_ridge_llm_subset
20,0.009256860073294262,0.0962125775213109,0.05768177586704626,407.4114198674811,linear_ridge_llm_subset
30,0.018626753706899542,0.1364798655732762,0.08536900339128634,103.00231001415088,linear_ridge_llm_subset
1,0.00034098907457596355,0.018465889487808692,0.014533325739703503,647431.645631017,linear_lasso_llm_subset
5,0.00137539040168431,0.03708625623710635,0.02819471653173052,60598.096035118724,linear_lasso_llm_subset
20,0.009738598312900377,0.09868433671510579,0.0591871546575581,257.2728158269382,linear_lasso_llm_subset
30,0.02008516278792223,0.14172213231504185,0.09303415257555868,81.22532062227309,linear_lasso_llm_subset
1,0.00033352896571159363,0.018262775614857674,0.014230095781385899,88790.71044921875,tsm_llm_subset
5,0.001482608262449503,0.03850465267896652,0.028918912634253502,58752.520751953125,tsm_llm_subset
20,0.01225734781473875,0.11071290820837021,0.07375288009643555,462.4842166900635,tsm_llm_subset
30,0.023472461849451065,0.15320725739002228,0.1037977784872055,111.20736598968506,tsm_llm_subset
