horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.4097222222222222,0.0,0.0,1.0,51,34,59,naive_persistence,full,144
5,0.2222222222222222,0.0,0.0,1.0,71,41,32,naive_persistence,full,144
20,0.125,0.0,0.0,1.0,90,36,18,naive_persistence,full,144
30,0.06944444444444445,0.0,0.0,1.0,101,33,10,naive_persistence,full,144
1,0.375,0.39215686274509803,0.6470588235294118,0.2033898305084746,51,34,59,seasonal_naive,full,144
5,0.2222222222222222,0.0,0.0,1.0,71,41,32,seasonal_naive,full,144
20,0.125,0.0,0.0,1.0,90,36,18,seasonal_naive,full,144
30,0.06944444444444445,0.0,0.0,1.0,101,33,10,seasonal_naive,full,144
1,0.4236111111111111,0.0196078431372549,0.058823529411764705,0.9830508474576272,51,34,59,linear_ridge,full,144
5,0.4236111111111111,0.4225352112676056,0.17073170731707318,0.75,71,41,32,linear_ridge,full,144
20,0.7152777777777778,0.9666666666666667,0.3611111111111111,0.16666666666666666,90,36,18,linear_ridge,full,144
30,0.8402777777777778,0.9900990099009901,0.6060606060606061,0.1,101,33,10,linear_ridge,full,144
1,0.4236111111111111,0.3333333333333333,0.08823529411764706,0.6949152542372882,51,34,59,linear_lasso,full,144
5,0.3888888888888889,0.4225352112676056,0.14634146341463414,0.625,71,41,32,linear_lasso,full,144
20,0.7083333333333334,0.9222222222222223,0.5,0.05555555555555555,90,36,18,linear_lasso,full,144
30,0.7361111111111112,0.7425742574257426,0.7878787878787878,0.5,101,33,10,linear_lasso,full,144
1,0.3958333333333333,0.0392156862745098,0.0,0.9322033898305084,51,34,59,tsm,full,144
5,0.4444444444444444,0.4225352112676056,0.3902439024390244,0.5625,71,41,32,tsm,full,144
20,0.4861111111111111,0.5777777777777777,0.3611111111111111,0.2777777777777778,90,36,18,tsm,full,144
30,0.5347222222222222,0.5742574257425742,0.48484848484848486,0.3,101,33,10,tsm,full,144
1,0.3958333333333333,0.0392156862745098,0.0,0.9322033898305084,51,34,59,TSM+LLM-COT-RF-HDELTA,llm_subset,144
5,0.4583333333333333,0.4507042253521127,0.3902439024390244,0.5625,71,41,32,TSM+LLM-COT-RF-HDELTA,llm_subset,144
20,0.5763888888888888,0.7111111111111111,0.3611111111111111,0.3333333333333333,90,36,18,TSM+LLM-COT-RF-HDELTA,llm_subset,144
30,0.5833333333333334,0.6435643564356436,0.48484848484848486,0.3,101,33,10,TSM+LLM-COT-RF-HDELTA,llm_subset,144
1,0.4097222222222222,0.0,0.0,1.0,51,34,59,naive_persistence_llm_subset,llm_subset,144
5,0.2222222222222222,0.0,0.0,1.0,71,41,32,naive_persistence_llm_subset,llm_subset,144
20,0.125,0.0,0.0,1.0,90,36,18,naive_persistence_llm_subset,llm_subset,144
30,0.06944444444444445,0.0,0.0,1.0,101,33,10,naive_persistence_llm_subset,llm_subset,144
1,0.375,0.39215686274509803,0.6470588235294118,0.2033898305084746,51,34,59,seasonal_naive_llm_subset,llm_subset,144
5,0.2222222222222222,0.0,0.0,1.0,71,41,32,seasonal_naive_llm_subset,llm_subset,144
20,0.125,0.0,0.0,1.0,90,36,18,seasonal_naive_llm_subset,llm_subset,144
30,0.06944444444444445,0.0,0.0,1.0,101,33,10,seasonal_naive_llm_subset,llm_subset,144
1,0.4236111111111111,0.0196078431372549,0.058823529411764705,0.9830508474576272,51,34,59,linear_ridge_llm_subset,llm_subset,144
5,0.4236111111111111,0.4225352112676056,0.17073170731707318,0.75,71,41,32,linear_ridge_llm_subset,llm_subset,144
20,0.7152777777777778,0.9666666666666667,0.3611111111111111,0.16666666666666666,90,36,18,linear_ridge_llm_subset,llm_subset,144
30,0.8402777777777778,0.9900990099009901,0.6060606060606061,0.1,101,33,10,linear_ridge_llm_subset,llm_subset,144
1,0.4236111111111111,0.3333333333333333,0.08823529411764706,0.6949152542372882,51,34,59,linear_lasso_llm_subset,llm_subset,144
5,0.3888888888888889,0.4225352112676056,0.14634146341463414,0.625,71,41,32,linear_lasso_llm_subset,llm_subset,144
20,0.7083333333333334,0.9222222222222223,0.5,0.05555555555555555,90,36,18,linear_lasso_llm_subset,llm_subset,144
30,0.7361111111111112,0.7425742574257426,0.7878787878787878,0.5,101,33,10,linear_lasso_llm_subset,llm_subset,144
1,0.3958333333333333,0.0392156862745098,0.0,0.9322033898305084,51,34,59,tsm_llm_subset,llm_subset,144
5,0.4444444444444444,0.4225352112676056,0.3902439024390244,0.5625,71,41,32,tsm_llm_subset,llm_subset,144
20,0.4861111111111111,0.5777777777777777,0.3611111111111111,0.2777777777777778,90,36,18,tsm_llm_subset,llm_subset,144
30,0.5347222222222222,0.5742574257425742,0.48484848484848486,0.3,101,33,10,tsm_llm_subset,llm_subset,144
