horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.5208333333333334,0.5476190476190477,0.4444444444444444,0.5,84,18,42,0.02,18,naive_persistence,full,144
20,0.4027777777777778,0.42424242424242425,0.21428571428571427,0.41935483870967744,99,14,31,0.02,18,naive_persistence,full,144
30,0.3472222222222222,0.37623762376237624,0.05,0.4782608695652174,101,20,23,0.02,18,naive_persistence,full,144
10,0.5208333333333334,0.5476190476190477,0.4444444444444444,0.5,84,18,42,0.02,18,seasonal_naive,full,144
20,0.4027777777777778,0.42424242424242425,0.21428571428571427,0.41935483870967744,99,14,31,0.02,18,seasonal_naive,full,144
30,0.3472222222222222,0.37623762376237624,0.05,0.4782608695652174,101,20,23,0.02,18,seasonal_naive,full,144
10,0.5902777777777778,0.7261904761904762,0.2777777777777778,0.4523809523809524,84,18,42,0.02,18,linear_ridge,full,144
20,0.6944444444444444,0.9494949494949495,0.07142857142857142,0.16129032258064516,99,14,31,0.02,18,linear_ridge,full,144
30,0.7013888888888888,0.9405940594059405,0.05,0.21739130434782608,101,20,23,0.02,18,linear_ridge,full,144
10,0.6041666666666666,0.6666666666666666,0.3333333333333333,0.5952380952380952,84,18,42,0.02,18,linear_lasso,full,144
20,0.6388888888888888,0.7878787878787878,0.07142857142857142,0.41935483870967744,99,14,31,0.02,18,linear_lasso,full,144
30,0.5069444444444444,0.5643564356435643,0.15,0.5652173913043478,101,20,23,0.02,18,linear_lasso,full,144
10,0.4652777777777778,0.5714285714285714,0.16666666666666666,0.38095238095238093,84,18,42,0.02,18,tsm,full,144
20,0.5069444444444444,0.6666666666666666,0.07142857142857142,0.1935483870967742,99,14,31,0.02,18,tsm,full,144
30,0.5,0.6138613861386139,0.05,0.391304347826087,101,20,23,0.02,18,tsm,full,144
10,0.5138888888888888,0.6666666666666666,0.16666666666666666,0.35714285714285715,84,18,42,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,144
20,0.5347222222222222,0.7272727272727273,0.07142857142857142,0.12903225806451613,99,14,31,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,144
30,0.5208333333333334,0.6732673267326733,0.05,0.2608695652173913,101,20,23,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,144
10,0.5208333333333334,0.5476190476190477,0.4444444444444444,0.5,84,18,42,0.02,18,naive_persistence_llm_subset,llm_subset,144
20,0.4027777777777778,0.42424242424242425,0.21428571428571427,0.41935483870967744,99,14,31,0.02,18,naive_persistence_llm_subset,llm_subset,144
30,0.3472222222222222,0.37623762376237624,0.05,0.4782608695652174,101,20,23,0.02,18,naive_persistence_llm_subset,llm_subset,144
10,0.5208333333333334,0.5476190476190477,0.4444444444444444,0.5,84,18,42,0.02,18,seasonal_naive_llm_subset,llm_subset,144
20,0.4027777777777778,0.42424242424242425,0.21428571428571427,0.41935483870967744,99,14,31,0.02,18,seasonal_naive_llm_subset,llm_subset,144
30,0.3472222222222222,0.37623762376237624,0.05,0.4782608695652174,101,20,23,0.02,18,seasonal_naive_llm_subset,llm_subset,144
10,0.5902777777777778,0.7261904761904762,0.2777777777777778,0.4523809523809524,84,18,42,0.02,18,linear_ridge_llm_subset,llm_subset,144
20,0.6944444444444444,0.9494949494949495,0.07142857142857142,0.16129032258064516,99,14,31,0.02,18,linear_ridge_llm_subset,llm_subset,144
30,0.7013888888888888,0.9405940594059405,0.05,0.21739130434782608,101,20,23,0.02,18,linear_ridge_llm_subset,llm_subset,144
10,0.6041666666666666,0.6666666666666666,0.3333333333333333,0.5952380952380952,84,18,42,0.02,18,linear_lasso_llm_subset,llm_subset,144
20,0.6388888888888888,0.7878787878787878,0.07142857142857142,0.41935483870967744,99,14,31,0.02,18,linear_lasso_llm_subset,llm_subset,144
30,0.5069444444444444,0.5643564356435643,0.15,0.5652173913043478,101,20,23,0.02,18,linear_lasso_llm_subset,llm_subset,144
10,0.4652777777777778,0.5714285714285714,0.16666666666666666,0.38095238095238093,84,18,42,0.02,18,tsm_llm_subset,llm_subset,144
20,0.5069444444444444,0.6666666666666666,0.07142857142857142,0.1935483870967742,99,14,31,0.02,18,tsm_llm_subset,llm_subset,144
30,0.5,0.6138613861386139,0.05,0.391304347826087,101,20,23,0.02,18,tsm_llm_subset,llm_subset,144
